sample	site	country	month	year	zone	northing	easting
B005	Barro Colorado Island	Panama	October	2012	17P	1012760	628970
B006	Barro Colorado Island	Panama	October	2012	17P	1012696	628778
B007	Barro Colorado Island	Panama	October	2012	17P	1012614	628598
B008	Barro Colorado Island	Panama	October	2012	17P	1012656	628436
B010	Barro Colorado Island	Panama	October	2012	17P	1012533	628105
B011	Barro Colorado Island	Panama	October	2012	17P	1012512	628590
B012	Barro Colorado Island	Panama	October	2012	17P	1012407	628465
B013	Barro Colorado Island	Panama	October	2012	17P	1012269	628415
B014	Barro Colorado Island	Panama	October	2012	17P	1012108	628342
B020	Barro Colorado Island	Panama	October	2012	17P	1011959	629156
B029	Barro Colorado Island	Panama	October	2012	17P	1011629	627727
B030	Barro Colorado Island	Panama	October	2012	17P	1011853	627712
B031	Barro Colorado Island	Panama	October	2012	17P	1011950	627585
B032	Barro Colorado Island	Panama	October	2012	17P	1012080	627360
B033	Barro Colorado Island	Panama	October	2012	17P	1012254	627316
B034	Barro Colorado Island	Panama	October	2012	17P	1012431	627251
B035	Barro Colorado Island	Panama	October	2012	17P	1012614	627236
B036	Barro Colorado Island	Panama	October	2012	17P	1012832	627369
B037	Barro Colorado Island	Panama	October	2012	17P	1012952	627269
B038	Barro Colorado Island	Panama	October	2012	17P	1013115	627389
B039	Barro Colorado Island	Panama	October	2012	17P	1013261	627514
B040	Barro Colorado Island	Panama	October	2012	17P	1013396	627457
B043	Barro Colorado Island	Panama	October	2012	17P	1013156	627008
B044	Barro Colorado Island	Panama	October	2012	17P	1013191	626933
B045	Barro Colorado Island	Panama	October	2012	17P	1013368	626925
B046	Barro Colorado Island	Panama	October	2012	17P	1013575	626948
B047	Barro Colorado Island	Panama	October	2012	17P	1013769	626961
B048	Barro Colorado Island	Panama	October	2012	17P	1013035	626809
B050	Barro Colorado Island	Panama	October	2012	17P	1013151	626654
B051	Barro Colorado Island	Panama	October	2012	17P	1010594	625351
B052	Barro Colorado Island	Panama	October	2012	17P	1010743	625463
B060	Barro Colorado Island	Panama	October	2012	17P	1011771	625853
B070	Barro Colorado Island	Panama	October	2012	17P	1012036	625462
B080	Barro Colorado Island	Panama	October	2012	17P	1011717	625613
B081	Barro Colorado Island	Panama	October	2012	17P	1010992	625691
B082	Barro Colorado Island	Panama	October	2012	17P	1011005	625784
B090	Barro Colorado Island	Panama	October	2012	17P	1011141	626449
B100	Barro Colorado Island	Panama	October	2012	17P	1010851	626820
B129	Barro Colorado Island	Panama	June	2013	17P	1011628	627725
B130	Barro Colorado Island	Panama	June	2013	17P	1011851	627708
B133	Barro Colorado Island	Panama	June	2013	17P	1012256	627313
B134	Barro Colorado Island	Panama	June	2013	17P	1012431	627249
B135	Barro Colorado Island	Panama	June	2013	17P	1012619	627241
B136	Barro Colorado Island	Panama	June	2013	17P	1012833	627364
B143	Barro Colorado Island	Panama	June	2013	17P	1013154	627003
B144	Barro Colorado Island	Panama	June	2013	17P	1013189	626930
B145	Barro Colorado Island	Panama	June	2013	17P	1013364	626926
B146	Barro Colorado Island	Panama	June	2013	17P	1013567	626940
B155	Barro Colorado Island	Panama	June	2013	17P	1011278	625602
B156	Barro Colorado Island	Panama	June	2013	17P	1011447	625678
B163	Barro Colorado Island	Panama	June	2013	17P	1012716	626219
B164	Barro Colorado Island	Panama	June	2013	17P	1012872	626088
B167	Barro Colorado Island	Panama	June	2013	17P	1012089	625741
B168	Barro Colorado Island	Panama	June	2013	17P	1012060	625654
B173	Barro Colorado Island	Panama	June	2013	17P	1012101	625124
B174	Barro Colorado Island	Panama	June	2013	17P	1012107	625041
B175	Barro Colorado Island	Panama	June	2013	17P	1012141	624940
B176	Barro Colorado Island	Panama	June	2013	17P	1012169	624848
B177	Barro Colorado Island	Panama	June	2013	17P	1012232	624683
B178	Barro Colorado Island	Panama	June	2013	17P	1011959	625349
B183	Barro Colorado Island	Panama	June	2013	17P	1011059	625858
B184	Barro Colorado Island	Panama	June	2013	17P	1011167	625868
B185	Barro Colorado Island	Panama	June	2013	17P	1011326	626968
B186	Barro Colorado Island	Panama	June	2013	17P	1011324	626048
B193	Barro Colorado Island	Panama	June	2013	17P	1011016	626634
B194	Barro Colorado Island	Panama	June	2013	17P	1010921	626615
B197	Barro Colorado Island	Panama	June	2013	17P	1010726	626917
B198	Barro Colorado Island	Panama	June	2013	17P	1010781	626991
B199	Barro Colorado Island	Panama	June	2013	17P	1010818	626909
B200	Barro Colorado Island	Panama	June	2013	17P	1010851	626819
L001	La Selva Biological Station	Costa Rica	October	2012	16P	1151992	827508
L002	La Selva Biological Station	Costa Rica	October	2012	16P	1151572	827291
L005	La Selva Biological Station	Costa Rica	October	2012	16P	1151198	827077
L006	La Selva Biological Station	Costa Rica	October	2012	16P	1151174	826996
L007	La Selva Biological Station	Costa Rica	October	2012	16P	1151240	826878
L008	La Selva Biological Station	Costa Rica	October	2012	16P	1151312	826762
L010	La Selva Biological Station	Costa Rica	October	2012	16P	1151490	826519
L011	La Selva Biological Station	Costa Rica	October	2012	16P	1151574	826394
L012	La Selva Biological Station	Costa Rica	October	2012	16P	1151653	826269
L013	La Selva Biological Station	Costa Rica	October	2012	16P	1151733	826150
L014	La Selva Biological Station	Costa Rica	October	2012	16P	1151811	826029
L015	La Selva Biological Station	Costa Rica	October	2012	16P	1151890	825892
L016	La Selva Biological Station	Costa Rica	October	2012	16P	1151969	825766
L018	La Selva Biological Station	Costa Rica	October	2012	16P	1152327	825996
L019	La Selva Biological Station	Costa Rica	October	2012	16P	1152210	826174
L020	La Selva Biological Station	Costa Rica	October	2012	16P	1152076	826365
L021	La Selva Biological Station	Costa Rica	October	2012	16P	1152007	826485
L022	La Selva Biological Station	Costa Rica	October	2012	16P	1152115	826584
L023	La Selva Biological Station	Costa Rica	October	2012	16P	1152202	826646
L024	La Selva Biological Station	Costa Rica	October	2012	16P	1152296	826667
L025	La Selva Biological Station	Costa Rica	October	2012	16P	1152440	826806
L026	La Selva Biological Station	Costa Rica	October	2012	16P	1152538	826967
L027	La Selva Biological Station	Costa Rica	October	2012	16P	1152596	827145
L028	La Selva Biological Station	Costa Rica	October	2012	16P	1152783	827146
L030	La Selva Biological Station	Costa Rica	October	2012	16P	1153203	827269
L031	La Selva Biological Station	Costa Rica	October	2012	16P	1153264	827271
L032	La Selva Biological Station	Costa Rica	October	2012	16P	1153341	827195
L035	La Selva Biological Station	Costa Rica	October	2012	16P	1153638	827424
L036	La Selva Biological Station	Costa Rica	October	2012	16P	1153786	827532
L037	La Selva Biological Station	Costa Rica	October	2012	16P	1153865	827560
L038	La Selva Biological Station	Costa Rica	October	2012	16P	1153883	827648
L039	La Selva Biological Station	Costa Rica	October	2012	16P	1153851	827721
L040	La Selva Biological Station	Costa Rica	October	2012	16P	1153847	827807
L041	La Selva Biological Station	Costa Rica	October	2012	16P	1153424	828171
L042	La Selva Biological Station	Costa Rica	October	2012	16P	1153293	828107
L043	La Selva Biological Station	Costa Rica	October	2012	16P	1153133	828029
L044	La Selva Biological Station	Costa Rica	October	2012	16P	1153148	828001
L045	La Selva Biological Station	Costa Rica	October	2012	16P	1153208	827919
L046	La Selva Biological Station	Costa Rica	October	2012	16P	1153261	827838
L049	La Selva Biological Station	Costa Rica	October	2012	16P	1153343	827539
L050	La Selva Biological Station	Costa Rica	October	2012	16P	1153464	827420
L051	La Selva Biological Station	Costa Rica	October	2012	16P	1154647	827116
L052	La Selva Biological Station	Costa Rica	October	2012	16P	1154729	827062
L053	La Selva Biological Station	Costa Rica	October	2012	16P	1154770	827935
L054	La Selva Biological Station	Costa Rica	October	2012	16P	1154978	826975
L055	La Selva Biological Station	Costa Rica	October	2012	16P	1155125	826988
L056	La Selva Biological Station	Costa Rica	October	2012	16P	1155185	827084
L057	La Selva Biological Station	Costa Rica	October	2012	16P	1155148	827174
L058	La Selva Biological Station	Costa Rica	October	2012	16P	1154956	827040
L059	La Selva Biological Station	Costa Rica	October	2012	16P	1154892	827158
L060	La Selva Biological Station	Costa Rica	October	2012	16P	1154811	827310
L061	La Selva Biological Station	Costa Rica	October	2012	16P	1153917	827402
L062	La Selva Biological Station	Costa Rica	October	2012	16P	1154098	827384
L063	La Selva Biological Station	Costa Rica	October	2012	16P	1154131	827207
L064	La Selva Biological Station	Costa Rica	October	2012	16P	1154065	827034
L065	La Selva Biological Station	Costa Rica	October	2012	16P	1153921	826917
L066	La Selva Biological Station	Costa Rica	October	2012	16P	1153803	826813
L067	La Selva Biological Station	Costa Rica	October	2012	16P	1153656	826690
L068	La Selva Biological Station	Costa Rica	October	2012	16P	1153688	826453
L069	La Selva Biological Station	Costa Rica	October	2012	16P	1153706	826297
L070	La Selva Biological Station	Costa Rica	October	2012	16P	1153716	826165
L071	La Selva Biological Station	Costa Rica	October	2012	16P	1153577	826083
L072	La Selva Biological Station	Costa Rica	October	2012	16P	1153502	826030
L073	La Selva Biological Station	Costa Rica	October	2012	16P	1153430	825967
L074	La Selva Biological Station	Costa Rica	October	2012	16P	1153305	825871
L075	La Selva Biological Station	Costa Rica	October	2012	16P	1153264	825850
L076	La Selva Biological Station	Costa Rica	October	2012	16P	1153187	825795
L077	La Selva Biological Station	Costa Rica	October	2012	16P	1153019	825693
L078	La Selva Biological Station	Costa Rica	October	2012	16P	1152937	825645
L079	La Selva Biological Station	Costa Rica	October	2012	16P	1152850	825587
L080	La Selva Biological Station	Costa Rica	October	2012	16P	1152810	825554
L081	La Selva Biological Station	Costa Rica	October	2012	16P	1152730	825522
L082	La Selva Biological Station	Costa Rica	October	2012	16P	1152695	825462
L083	La Selva Biological Station	Costa Rica	October	2012	16P	1152612	825410
L084	La Selva Biological Station	Costa Rica	October	2012	16P	1152529	825360
L085	La Selva Biological Station	Costa Rica	October	2012	16P	1152750	825433
L086	La Selva Biological Station	Costa Rica	October	2012	16P	1152843	825436
L089	La Selva Biological Station	Costa Rica	October	2012	16P	1153060	825676
L090	La Selva Biological Station	Costa Rica	October	2012	16P	1153131	825715
L092	La Selva Biological Station	Costa Rica	October	2012	16P	1154316	824007
L093	La Selva Biological Station	Costa Rica	October	2012	16P	1154246	823943
L094	La Selva Biological Station	Costa Rica	October	2012	16P	1154176	823882
L095	La Selva Biological Station	Costa Rica	October	2012	16P	1154084	823820
L096	La Selva Biological Station	Costa Rica	October	2012	16P	1153994	823952
L097	La Selva Biological Station	Costa Rica	October	2012	16P	1153968	823975
L098	La Selva Biological Station	Costa Rica	October	2012	16P	1153931	824068
L099	La Selva Biological Station	Costa Rica	October	2012	16P	1153916	824104
L100	La Selva Biological Station	Costa Rica	October	2012	16P	1153852	824192
L101	La Selva Biological Station	Costa Rica	June	2013	16P	1151992	827504
L102	La Selva Biological Station	Costa Rica	June	2013	16P	1151568	827829
L103	La Selva Biological Station	Costa Rica	June	2013	16P	1151406	827209
L104	La Selva Biological Station	Costa Rica	June	2013	16P	1151325	827137
L109	La Selva Biological Station	Costa Rica	June	2013	16P	1151391	826633
L110	La Selva Biological Station	Costa Rica	June	2013	16P	1151490	826519
L111	La Selva Biological Station	Costa Rica	June	2013	16P	1151576	826394
L112	La Selva Biological Station	Costa Rica	June	2013	16P	1151650	826271
L115	La Selva Biological Station	Costa Rica	June	2013	16P	1151894	825894
L116	La Selva Biological Station	Costa Rica	June	2013	16P	1151965	825766
L117	La Selva Biological Station	Costa Rica	June	2013	16P	1152064	825642
L118	La Selva Biological Station	Costa Rica	June	2013	16P	1152325	825989
L119	La Selva Biological Station	Costa Rica	June	2013	16P	1152214	826171
L120	La Selva Biological Station	Costa Rica	June	2013	16P	1152082	826364
L123	La Selva Biological Station	Costa Rica	June	2013	16P	1152202	826651
L124	La Selva Biological Station	Costa Rica	June	2013	16P	1152300	826670
L125	La Selva Biological Station	Costa Rica	June	2013	16P	1152435	826812
